file,read_count
../results/simdir/Salmonella_enterica_serovar_Typhimurium_SL1344_uid50407/50407_1.fq.gz,38118
../results/simdir/Salmonella_enterica_serovar_Typhimurium_SL1344_uid50407/50407_2.fq.gz,41405
../results/simdir/Pseudomonas_aeruginosa_PA1_uid185335/185335_2.fq.gz,55028
../results/simdir/Pseudomonas_aeruginosa_PA1_uid185335/185335_1.fq.gz,48982
../results/simdir/Bacillus_subtilis_BSP1_uid166925/166925_2.fq.gz,33657
../results/simdir/Bacillus_subtilis_BSP1_uid166925/166925_1.fq.gz,31439
../results/simdir/Bacillus_thuringiensis_BMB171_uid43631/43631_1.fq.gz,43663
../results/simdir/Bacillus_thuringiensis_BMB171_uid43631/43631_2.fq.gz,47476
../results/simdir/Yersinia_pestis_Antiqua_uid16645/16645_2.fq.gz,40210
../results/simdir/Yersinia_pestis_Antiqua_uid16645/16645_1.fq.gz,37326
../results/simdir/Bacillus_amyloliquefaciens_plantarum_AS43_3_uid173409/173409_1.fq.gz,30652
../results/simdir/Bacillus_amyloliquefaciens_plantarum_AS43_3_uid173409/173409_2.fq.gz,33281
../results/simdir/Bacillus_anthracis_A0248_uid33543/33543_2.fq.gz,46171
../results/simdir/Bacillus_anthracis_A0248_uid33543/33543_1.fq.gz,42474
../results/simdir/Clostridium_phytofermentans_ISDg_uid16184/16184_2.fq.gz,40578
../results/simdir/Clostridium_phytofermentans_ISDg_uid16184/16184_1.fq.gz,37648
../results/simdir/Bacillus_anthracis_A16R_uid40353/40353_2.fq.gz,45681
../results/simdir/Bacillus_anthracis_A16R_uid40353/40353_1.fq.gz,41753
../results/simdir/Escherichia_coli__clone_D_i14__uid52023/52023_2.fq.gz,41790
../results/simdir/Escherichia_coli__clone_D_i14__uid52023/52023_1.fq.gz,38836
../results/simdir/Staphylococcus_aureus_ST228_10497_uid71345/71345_1.fq.gz,20962
../results/simdir/Staphylococcus_aureus_ST228_10497_uid71345/71345_2.fq.gz,23442
../results/simdir/Bacillus_thuringiensis_HD_771_uid171845/171845_1.fq.gz,49453
../results/simdir/Bacillus_thuringiensis_HD_771_uid171845/171845_2.fq.gz,54048
../results/simdir/Listeria_monocytogenes_L312_uid51857/51857_1.fq.gz,22216
../results/simdir/Listeria_monocytogenes_L312_uid51857/51857_2.fq.gz,24294
../results/simdir/Bacillus_subtilis_XF_1_uid175410/175410_1.fq.gz,31391
../results/simdir/Bacillus_subtilis_XF_1_uid175410/175410_2.fq.gz,33561
../results/simdir/Bacillus_subtilis_spizizenii_TU_B_10_uid68561/68561_1.fq.gz,32622
../results/simdir/Bacillus_subtilis_spizizenii_TU_B_10_uid68561/68561_2.fq.gz,34870
../results/simdir/Listeria_ivanovii_uid13441/13441_1.fq.gz,22289
../results/simdir/Listeria_ivanovii_uid13441/13441_2.fq.gz,24437
../results/simdir/Shigella_dysenteriae_uid13145/13145_2.fq.gz,37601
../results/simdir/Shigella_dysenteriae_uid13145/13145_1.fq.gz,34796
../results/simdir/Pseudomonas_aeruginosa_uid331/331_2.fq.gz,53090
../results/simdir/Pseudomonas_aeruginosa_uid331/331_1.fq.gz,46792
../results/simdir/Yersinia_pestis_biovar_Microtus_91001_uid10638/10638_1.fq.gz,36725
../results/simdir/Yersinia_pestis_biovar_Microtus_91001_uid10638/10638_2.fq.gz,39181
../results/simdir/Bacillus_subtilis_BSn5_uid61191/61191_1.fq.gz,31804
../results/simdir/Bacillus_subtilis_BSn5_uid61191/61191_2.fq.gz,33898
../results/simdir/Escherichia_coli_O7_K1_CE10_uid63597/63597_2.fq.gz,44498
../results/simdir/Escherichia_coli_O7_K1_CE10_uid63597/63597_1.fq.gz,41384
../results/simdir/Salmonella_bongori_NCTC_12419_uid351/351_2.fq.gz,36385
../results/simdir/Salmonella_bongori_NCTC_12419_uid351/351_1.fq.gz,33622
../results/simdir/Salmonella_enterica_serovar_Newport_USMARC_S3124_1_uid51643/51643_1.fq.gz,37928
../results/simdir/Salmonella_enterica_serovar_Newport_USMARC_S3124_1_uid51643/51643_2.fq.gz,41006
../results/simdir/Listeria_monocytogenes_serotype_1_2a_10_1047_uid167903/167903_1.fq.gz,23302
../results/simdir/Listeria_monocytogenes_serotype_1_2a_10_1047_uid167903/167903_2.fq.gz,25091
../results/simdir/Listeria_monocytogenes_HCC23_uid29409/29409_2.fq.gz,24939
../results/simdir/Listeria_monocytogenes_HCC23_uid29409/29409_1.fq.gz,23008
../results/simdir/Listeria_monocytogenes_serotype_1_2c_SLCC2372_uid50377/50377_2.fq.gz,25307
../results/simdir/Listeria_monocytogenes_serotype_1_2c_SLCC2372_uid50377/50377_1.fq.gz,22957
../results/simdir/Bacillus_weihenstephanensis_KBAB4_uid13623/13623_1.fq.gz,45281
../results/simdir/Bacillus_weihenstephanensis_KBAB4_uid13623/13623_2.fq.gz,49176
../results/simdir/Bacillus_cereus_AH820_uid17711/17711_1.fq.gz,43150
../results/simdir/Bacillus_cereus_AH820_uid17711/17711_2.fq.gz,46984
../results/simdir/Staphylococcus_aureus_Newman_uid18801/18801_2.fq.gz,24222
../results/simdir/Staphylococcus_aureus_Newman_uid18801/18801_1.fq.gz,21650
../results/simdir/Listeria_monocytogenes_SLCC5850_uid51861/51861_2.fq.gz,24393
../results/simdir/Listeria_monocytogenes_SLCC5850_uid51861/51861_1.fq.gz,22135
../results/simdir/Bacillus_cereus_Q1_uid16220/16220_1.fq.gz,42301
../results/simdir/Bacillus_cereus_Q1_uid16220/16220_2.fq.gz,46224
../results/simdir/Pseudomonas_putida_NBRC_14164_uid171050/171050_1.fq.gz,45710
../results/simdir/Pseudomonas_putida_NBRC_14164_uid171050/171050_2.fq.gz,51266
../results/simdir/Pseudomonas_putida_HB3267_uid171349/171349_2.fq.gz,49768
../results/simdir/Pseudomonas_putida_HB3267_uid171349/171349_1.fq.gz,45186
../results/simdir/Clostridium_acetobutylicum_EA_2018_uid50455/50455_2.fq.gz,34692
../results/simdir/Clostridium_acetobutylicum_EA_2018_uid50455/50455_1.fq.gz,31573
../results/simdir/Listeria_monocytogenes_SLCC2479_uid51829/51829_1.fq.gz,22622
